2025-04-16 11:01:16.405;producer;2;Message-28;0;46
2025-04-16 11:01:16.411;producer;1;Message-40;2;22
2025-04-16 11:01:16.441;producer;3;Message-41;2;23
2025-04-16 11:01:16.447;producer;2;Message-29;2;24
2025-04-16 11:01:16.456;producer;1;Message-41;2;25
2025-04-16 11:01:16.484;producer;3;Message-42;1;41
2025-04-16 11:01:16.487;producer;2;Message-30;0;47
2025-04-16 11:01:16.500;producer;1;Message-42;1;42
2025-04-16 11:01:16.527;producer;3;Message-43;0;48
2025-04-16 11:01:16.530;producer;2;Message-31;1;43
2025-04-16 11:01:16.541;producer;1;Message-43;0;49
2025-04-16 11:01:16.572;producer;3;Message-44;0;50
2025-04-16 11:01:16.576;producer;2;Message-32;2;26
2025-04-16 11:01:16.585;producer;1;Message-44;0;51
2025-04-16 11:01:16.614;producer;3;Message-45;0;52
2025-04-16 11:01:16.621;producer;2;Message-33;0;53
2025-04-16 11:01:16.629;producer;1;Message-45;0;54
2025-04-16 11:01:16.659;producer;3;Message-46;1;44
2025-04-16 11:01:16.665;producer;2;Message-34;0;55
2025-04-16 11:01:16.674;producer;1;Message-46;1;45
2025-04-16 11:01:16.701;producer;3;Message-47;0;56
2025-04-16 11:01:16.709;producer;2;Message-35;1;46
2025-04-16 11:01:16.716;producer;1;Message-47;0;57
2025-04-16 11:01:16.743;producer;3;Message-48;0;58
2025-04-16 11:01:16.753;producer;2;Message-36;2;27
2025-04-16 11:01:16.757;producer;1;Message-48;0;59
2025-04-16 11:01:16.783;producer;3;Message-49;2;28
2025-04-16 11:01:16.798;producer;2;Message-37;0;60
2025-04-16 11:01:16.803;producer;1;Message-49;2;29
2025-04-16 11:01:16.825;producer;3;Message-50;2;30
2025-04-16 11:01:16.844;producer;2;Message-38;1;47
2025-04-16 11:01:16.845;producer;1;Message-50;2;31
2025-04-16 11:01:16.873;producer;3;Message-51;1;48
2025-04-16 11:01:16.887;producer;1;Message-51;1;49
2025-04-16 11:01:16.888;producer;2;Message-39;1;50
2025-04-16 11:01:16.912;producer;3;Message-52;0;61
2025-04-16 11:01:16.930;producer;2;Message-40;2;32
2025-04-16 11:01:16.930;producer;1;Message-52;0;62
2025-04-16 11:01:16.953;producer;3;Message-53;1;51
2025-04-16 11:01:16.971;producer;1;Message-53;1;52
2025-04-16 11:01:16.973;producer;2;Message-41;2;33
2025-04-16 11:01:16.997;producer;3;Message-54;0;63
2025-04-16 11:01:17.016;producer;1;Message-54;0;64
2025-04-16 11:01:17.016;producer;2;Message-42;1;53
2025-04-16 11:01:17.042;producer;3;Message-55;0;65
2025-04-16 11:01:17.059;producer;2;Message-43;0;66
2025-04-16 11:01:17.060;producer;1;Message-55;0;67
2025-04-16 11:01:17.088;producer;3;Message-56;0;68
2025-04-16 11:01:17.102;producer;1;Message-56;0;69
2025-04-16 11:01:17.103;producer;2;Message-44;0;70
2025-04-16 11:01:17.134;producer;3;Message-57;2;34
2025-04-16 11:01:17.141;producer;1;Message-57;2;35
2025-04-16 11:01:17.148;producer;2;Message-45;0;71
2025-04-16 11:01:17.176;producer;3;Message-58;1;54
2025-04-16 11:01:17.182;producer;1;Message-58;1;55
2025-04-16 11:01:17.189;producer;2;Message-46;1;56
2025-04-16 11:01:17.219;producer;3;Message-59;0;72
2025-04-16 11:01:17.225;producer;1;Message-59;0;73
2025-04-16 11:01:17.232;producer;2;Message-47;0;74
2025-04-16 11:01:17.263;producer;3;Message-60;0;75
2025-04-16 11:01:17.268;producer;1;Message-60;0;76
2025-04-16 11:01:17.274;producer;2;Message-48;0;77
2025-04-16 11:01:17.304;producer;3;Message-61;0;78
2025-04-16 11:01:17.312;producer;1;Message-61;0;79
2025-04-16 11:01:17.318;producer;2;Message-49;2;36
2025-04-16 11:01:17.349;producer;3;Message-62;1;57
2025-04-16 11:01:17.354;producer;1;Message-62;1;58
2025-04-16 11:01:17.360;producer;2;Message-50;2;37
2025-04-16 11:01:17.394;producer;3;Message-63;0;80
2025-04-16 11:01:17.399;producer;1;Message-63;0;81
2025-04-16 11:01:17.402;producer;2;Message-51;1;59
2025-04-16 11:01:17.439;producer;3;Message-64;0;82
2025-04-16 11:01:17.443;producer;2;Message-52;0;83
2025-04-16 11:01:17.444;producer;1;Message-64;0;84
2025-04-16 11:01:17.483;producer;3;Message-65;1;60
2025-04-16 11:01:17.486;producer;2;Message-53;1;61
2025-04-16 11:01:17.488;producer;1;Message-65;1;62
2025-04-16 11:01:17.530;producer;3;Message-66;1;63
2025-04-16 11:01:17.531;producer;2;Message-54;0;85
2025-04-16 11:01:17.533;producer;1;Message-66;1;64
2025-04-16 11:01:17.574;producer;3;Message-67;1;65
2025-04-16 11:01:17.575;producer;2;Message-55;0;86
2025-04-16 11:01:17.576;producer;1;Message-67;1;66
2025-04-16 11:01:17.618;producer;3;Message-68;1;67
2025-04-16 11:01:17.620;producer;1;Message-68;1;68
2025-04-16 11:01:17.620;producer;2;Message-56;0;87
2025-04-16 11:01:17.662;producer;3;Message-69;2;39
2025-04-16 11:01:17.662;producer;2;Message-57;2;38
2025-04-16 11:01:17.666;producer;1;Message-69;2;40
2025-04-16 11:01:17.705;producer;3;Message-70;0;88
2025-04-16 11:01:17.707;producer;2;Message-58;1;69
2025-04-16 11:01:17.707;producer;1;Message-70;0;89
2025-04-16 11:01:17.749;producer;2;Message-59;0;90
2025-04-16 11:01:17.749;producer;1;Message-71;0;91
2025-04-16 11:01:17.750;producer;3;Message-71;0;92
2025-04-16 11:01:17.792;producer;2;Message-60;0;93
2025-04-16 11:01:17.794;producer;3;Message-72;0;94
2025-04-16 11:01:17.794;producer;1;Message-72;0;95
2025-04-16 11:01:17.841;producer;1;Message-73;2;41
2025-04-16 11:01:17.842;producer;3;Message-73;2;42
2025-04-16 11:01:17.842;producer;2;Message-61;0;96
2025-04-16 11:01:17.889;producer;2;Message-62;1;70
2025-04-16 11:01:17.889;producer;3;Message-74;2;43
2025-04-16 11:01:17.889;producer;1;Message-74;2;44
2025-04-16 11:01:17.924;producer;3;Message-75;1;71
2025-04-16 11:01:17.926;producer;2;Message-63;0;97
2025-04-16 11:01:17.927;producer;1;Message-75;1;72
2025-04-16 11:01:17.966;producer;2;Message-64;0;98
2025-04-16 11:01:17.967;producer;1;Message-76;0;99
2025-04-16 11:01:17.968;producer;3;Message-76;0;100
2025-04-16 11:01:17.969;consumer;4;Message-64;0;98
2025-04-16 11:01:17.976;consumer;4;Message-76;0;99
2025-04-16 11:01:17.977;consumer;4;Message-76;0;100
2025-04-16 11:01:18.009;producer;2;Message-65;1;74
2025-04-16 11:01:18.009;producer;1;Message-77;1;75
2025-04-16 11:01:18.009;producer;3;Message-77;1;73
2025-04-16 11:01:18.009;consumer;4;Message-77;1;73
2025-04-16 11:01:18.009;consumer;4;Message-65;1;74
2025-04-16 11:01:18.009;consumer;4;Message-77;1;75
2025-04-16 11:01:18.054;producer;2;Message-66;1;76
2025-04-16 11:01:18.055;consumer;4;Message-66;1;76
2025-04-16 11:01:18.056;producer;1;Message-78;2;45
2025-04-16 11:01:18.056;producer;3;Message-78;2;46
2025-04-16 11:01:18.058;consumer;4;Message-78;2;45
2025-04-16 11:01:18.058;consumer;4;Message-78;2;46
2025-04-16 11:01:18.096;producer;1;Message-79;0;101
2025-04-16 11:01:18.096;consumer;4;Message-79;0;101
2025-04-16 11:01:18.098;producer;3;Message-79;0;102
2025-04-16 11:01:18.099;consumer;4;Message-79;0;102
2025-04-16 11:01:18.099;producer;2;Message-67;1;77
2025-04-16 11:01:18.101;consumer;4;Message-67;1;77
2025-04-16 11:01:18.137;producer;1;Message-80;0;103
2025-04-16 11:01:18.138;consumer;4;Message-80;0;103
2025-04-16 11:01:18.143;producer;3;Message-80;0;104
2025-04-16 11:01:18.144;consumer;4;Message-80;0;104
2025-04-16 11:01:18.144;producer;2;Message-68;1;78
2025-04-16 11:01:18.145;consumer;4;Message-68;1;78
2025-04-16 11:01:18.186;producer;1;Message-81;1;79
2025-04-16 11:01:18.186;consumer;4;Message-81;1;79
2025-04-16 11:01:18.187;producer;2;Message-69;2;47
2025-04-16 11:01:18.187;producer;3;Message-81;1;80
2025-04-16 11:01:18.189;consumer;4;Message-69;2;47
2025-04-16 11:01:18.189;consumer;4;Message-81;1;80
2025-04-16 11:01:18.231;producer;1;Message-82;0;105
2025-04-16 11:01:18.232;consumer;4;Message-82;0;105
2025-04-16 11:01:18.232;producer;2;Message-70;0;106
2025-04-16 11:01:18.232;producer;3;Message-82;0;107
2025-04-16 11:01:18.234;consumer;4;Message-70;0;106
2025-04-16 11:01:18.234;consumer;4;Message-82;0;107
2025-04-16 11:01:18.273;producer;1;Message-83;2;48
2025-04-16 11:01:18.273;consumer;4;Message-83;2;48
2025-04-16 11:01:18.275;producer;2;Message-71;0;108
2025-04-16 11:01:18.276;consumer;4;Message-71;0;108
2025-04-16 11:01:18.277;producer;3;Message-83;2;49
2025-04-16 11:01:18.279;consumer;4;Message-83;2;49
2025-04-16 11:01:18.319;producer;1;Message-84;1;81
2025-04-16 11:01:18.319;consumer;4;Message-84;1;81
2025-04-16 11:01:18.320;producer;2;Message-72;0;109
2025-04-16 11:01:18.321;producer;3;Message-84;1;82
2025-04-16 11:01:18.322;consumer;4;Message-84;1;82
2025-04-16 11:01:18.322;consumer;4;Message-72;0;109
2025-04-16 11:01:18.364;producer;3;Message-85;2;50
2025-04-16 11:01:18.365;consumer;4;Message-85;2;50
2025-04-16 11:01:18.367;producer;2;Message-73;2;51
2025-04-16 11:01:18.367;producer;1;Message-85;2;52
2025-04-16 11:01:18.368;consumer;4;Message-73;2;51
2025-04-16 11:01:18.368;consumer;4;Message-85;2;52
2025-04-16 11:01:18.409;producer;2;Message-74;2;53
2025-04-16 11:01:18.409;producer;1;Message-86;1;84
2025-04-16 11:01:18.409;producer;3;Message-86;1;83
2025-04-16 11:01:18.410;consumer;4;Message-74;2;53
2025-04-16 11:01:18.410;consumer;4;Message-86;1;83
2025-04-16 11:01:18.410;consumer;4;Message-86;1;84
2025-04-16 11:01:18.450;producer;2;Message-75;1;86
2025-04-16 11:01:18.450;producer;3;Message-87;1;85
2025-04-16 11:01:18.450;consumer;4;Message-87;1;85
2025-04-16 11:01:18.450;consumer;4;Message-75;1;86
2025-04-16 11:01:18.452;producer;1;Message-87;1;87
2025-04-16 11:01:18.453;consumer;4;Message-87;1;87
2025-04-16 11:01:18.494;producer;3;Message-88;0;110
2025-04-16 11:01:18.495;producer;2;Message-76;0;111
2025-04-16 11:01:18.495;consumer;4;Message-88;0;110
2025-04-16 11:01:18.495;consumer;4;Message-76;0;111
2025-04-16 11:01:18.496;producer;1;Message-88;0;112
2025-04-16 11:01:18.497;consumer;4;Message-88;0;112
2025-04-16 11:01:18.538;producer;1;Message-89;0;114
2025-04-16 11:01:18.538;producer;3;Message-89;0;113
2025-04-16 11:01:18.538;producer;2;Message-77;1;88
2025-04-16 11:01:18.538;consumer;4;Message-77;1;88
2025-04-16 11:01:18.538;consumer;4;Message-89;0;113
2025-04-16 11:01:18.538;consumer;4;Message-89;0;114
2025-04-16 11:01:18.580;producer;1;Message-90;2;54
2025-04-16 11:01:18.580;consumer;4;Message-90;2;54
2025-04-16 11:01:18.580;producer;3;Message-90;2;55
2025-04-16 11:01:18.581;producer;2;Message-78;2;56
2025-04-16 11:01:18.582;consumer;4;Message-90;2;55
2025-04-16 11:01:18.584;consumer;4;Message-78;2;56
2025-04-16 11:01:18.621;producer;1;Message-91;2;57
2025-04-16 11:01:18.621;consumer;4;Message-91;2;57
2025-04-16 11:01:18.624;producer;3;Message-91;2;58
2025-04-16 11:01:18.624;producer;2;Message-79;0;115
2025-04-16 11:01:18.624;consumer;4;Message-91;2;58
2025-04-16 11:01:18.624;consumer;4;Message-79;0;115
2025-04-16 11:01:18.662;producer;1;Message-92;0;116
2025-04-16 11:01:18.663;consumer;4;Message-92;0;116
2025-04-16 11:01:18.667;producer;3;Message-92;0;117
2025-04-16 11:01:18.667;consumer;4;Message-92;0;117
2025-04-16 11:01:18.668;producer;2;Message-80;0;118
2025-04-16 11:01:18.669;consumer;4;Message-80;0;118
2025-04-16 11:01:18.708;producer;1;Message-93;0;119
2025-04-16 11:01:18.708;consumer;4;Message-93;0;119
2025-04-16 11:01:18.711;producer;3;Message-93;0;120
2025-04-16 11:01:18.711;consumer;4;Message-93;0;120
2025-04-16 11:01:18.713;producer;2;Message-81;1;89
2025-04-16 11:01:18.714;consumer;4;Message-81;1;89
2025-04-16 11:01:18.753;producer;3;Message-94;1;90
2025-04-16 11:01:18.754;consumer;4;Message-94;1;90
2025-04-16 11:01:18.755;producer;1;Message-94;1;91
2025-04-16 11:01:18.756;consumer;4;Message-94;1;91
2025-04-16 11:01:18.761;producer;2;Message-82;0;121
2025-04-16 11:01:18.762;consumer;4;Message-82;0;121
2025-04-16 11:01:18.798;producer;1;Message-95;1;92
2025-04-16 11:01:18.798;consumer;4;Message-95;1;92
2025-04-16 11:01:18.799;producer;3;Message-95;1;93
2025-04-16 11:01:18.800;consumer;4;Message-95;1;93
2025-04-16 11:01:18.803;producer;2;Message-83;2;59
2025-04-16 11:01:18.804;consumer;4;Message-83;2;59
2025-04-16 11:01:18.839;producer;1;Message-96;0;122
2025-04-16 11:01:18.839;consumer;4;Message-96;0;122
2025-04-16 11:01:18.840;producer;3;Message-96;0;123
2025-04-16 11:01:18.842;consumer;4;Message-96;0;123
2025-04-16 11:01:18.846;producer;2;Message-84;1;94
2025-04-16 11:01:18.846;consumer;4;Message-84;1;94
2025-04-16 11:01:18.882;producer;3;Message-97;2;60
2025-04-16 11:01:18.883;consumer;4;Message-97;2;60
2025-04-16 11:01:18.884;producer;1;Message-97;2;61
2025-04-16 11:01:18.885;consumer;4;Message-97;2;61
2025-04-16 11:01:18.888;producer;2;Message-85;2;62
2025-04-16 11:01:18.889;consumer;4;Message-85;2;62
2025-04-16 11:01:18.924;producer;3;Message-98;0;124
2025-04-16 11:01:18.924;consumer;4;Message-98;0;124
2025-04-16 11:01:18.927;producer;1;Message-98;0;125
2025-04-16 11:01:18.928;consumer;4;Message-98;0;125
2025-04-16 11:01:18.933;producer;2;Message-86;1;95
2025-04-16 11:01:18.934;consumer;4;Message-86;1;95
2025-04-16 11:01:18.967;producer;3;Message-99;0;126
2025-04-16 11:01:18.968;consumer;4;Message-99;0;126
2025-04-16 11:01:18.971;producer;1;Message-99;0;127
2025-04-16 11:01:18.971;consumer;4;Message-99;0;127
2025-04-16 11:01:18.975;producer;2;Message-87;1;96
2025-04-16 11:01:18.975;consumer;4;Message-87;1;96
2025-04-16 11:01:19.012;producer;3;Message-100;0;128
2025-04-16 11:01:19.012;consumer;4;Message-100;0;128
2025-04-16 11:01:19.013;producer;1;Message-100;0;129
2025-04-16 11:01:19.014;consumer;4;Message-100;0;129
2025-04-16 11:01:19.019;producer;2;Message-88;0;130
2025-04-16 11:01:19.019;consumer;4;Message-88;0;130
2025-04-16 11:01:19.055;producer;3;Message-101;2;63
2025-04-16 11:01:19.056;consumer;4;Message-101;2;63
2025-04-16 11:01:19.059;producer;1;Message-101;2;64
2025-04-16 11:01:19.060;consumer;4;Message-101;2;64
2025-04-16 11:01:19.062;producer;2;Message-89;0;131
2025-04-16 11:01:19.062;consumer;4;Message-89;0;131
2025-04-16 11:01:19.098;producer;3;Message-102;0;132
2025-04-16 11:01:19.099;consumer;4;Message-102;0;132
2025-04-16 11:01:19.104;producer;1;Message-102;0;133
2025-04-16 11:01:19.104;consumer;4;Message-102;0;133
2025-04-16 11:01:19.105;producer;2;Message-90;2;65
2025-04-16 11:01:19.106;consumer;4;Message-90;2;65
2025-04-16 11:01:19.142;producer;3;Message-103;2;66
2025-04-16 11:01:19.142;consumer;4;Message-103;2;66
2025-04-16 11:01:19.150;producer;2;Message-91;2;67
2025-04-16 11:01:19.150;producer;1;Message-103;2;68
2025-04-16 11:01:19.150;consumer;4;Message-91;2;67
2025-04-16 11:01:19.150;consumer;4;Message-103;2;68
2025-04-16 11:01:19.184;producer;3;Message-104;2;69
2025-04-16 11:01:19.185;consumer;4;Message-104;2;69
2025-04-16 11:01:19.189;producer;2;Message-92;0;134
2025-04-16 11:01:19.189;consumer;4;Message-92;0;134
2025-04-16 11:01:19.191;producer;1;Message-104;2;70
2025-04-16 11:01:19.191;consumer;4;Message-104;2;70
2025-04-16 11:01:19.225;producer;3;Message-105;2;71
2025-04-16 11:01:19.226;consumer;4;Message-105;2;71
2025-04-16 11:01:19.232;producer;2;Message-93;0;135
2025-04-16 11:01:19.232;consumer;4;Message-93;0;135
2025-04-16 11:01:19.233;producer;1;Message-105;2;72
2025-04-16 11:01:19.234;consumer;4;Message-105;2;72
2025-04-16 11:01:19.267;producer;3;Message-106;0;136
2025-04-16 11:01:19.268;consumer;4;Message-106;0;136
2025-04-16 11:01:19.275;producer;1;Message-106;0;137
2025-04-16 11:01:19.276;consumer;4;Message-106;0;137
2025-04-16 11:01:19.276;producer;2;Message-94;1;97
2025-04-16 11:01:19.277;consumer;4;Message-94;1;97
2025-04-16 11:01:19.313;producer;3;Message-107;0;138
2025-04-16 11:01:19.313;consumer;4;Message-107;0;138
2025-04-16 11:01:19.319;producer;1;Message-107;0;139
2025-04-16 11:01:19.319;consumer;4;Message-107;0;139
2025-04-16 11:01:19.321;consumer;4;Message-95;1;98
2025-04-16 11:01:19.322;producer;2;Message-95;1;98
2025-04-16 11:01:19.354;producer;3;Message-108;0;140
2025-04-16 11:01:19.355;consumer;4;Message-108;0;140
2025-04-16 11:01:19.361;producer;2;Message-96;0;141
2025-04-16 11:01:19.361;consumer;4;Message-96;0;141
2025-04-16 11:01:19.362;producer;1;Message-108;0;142
2025-04-16 11:01:19.363;consumer;4;Message-108;0;142
2025-04-16 11:01:19.395;producer;3;Message-109;0;143
2025-04-16 11:01:19.396;consumer;4;Message-109;0;143
2025-04-16 11:01:19.405;producer;2;Message-97;2;73
2025-04-16 11:01:19.405;consumer;4;Message-97;2;73
2025-04-16 11:01:19.408;producer;1;Message-109;0;144
2025-04-16 11:01:19.408;consumer;4;Message-109;0;144
2025-04-16 11:01:19.442;producer;3;Message-110;1;99
2025-04-16 11:01:19.442;consumer;4;Message-110;1;99
2025-04-16 11:01:19.447;consumer;4;Message-98;0;145
2025-04-16 11:01:19.447;producer;2;Message-98;0;145
2025-04-16 11:01:19.449;producer;1;Message-110;1;100
2025-04-16 11:01:19.449;consumer;4;Message-110;1;100
2025-04-16 11:01:19.483;producer;3;Message-111;2;74
2025-04-16 11:01:19.483;consumer;4;Message-111;2;74
2025-04-16 11:01:19.492;producer;2;Message-99;0;146
2025-04-16 11:01:19.493;consumer;4;Message-99;0;146
2025-04-16 11:01:19.493;producer;1;Message-111;2;75
2025-04-16 11:01:19.494;consumer;4;Message-111;2;75
2025-04-16 11:01:19.525;producer;3;Message-112;2;76
2025-04-16 11:01:19.525;consumer;4;Message-112;2;76
2025-04-16 11:01:19.534;producer;1;Message-112;2;77
2025-04-16 11:01:19.534;consumer;4;Message-112;2;77
2025-04-16 11:01:19.539;producer;2;Message-100;0;147
2025-04-16 11:01:19.539;consumer;4;Message-100;0;147
2025-04-16 11:01:19.570;producer;3;Message-113;1;101
2025-04-16 11:01:19.570;consumer;4;Message-113;1;101
2025-04-16 11:01:19.578;producer;1;Message-113;1;102
2025-04-16 11:01:19.579;consumer;4;Message-113;1;102
2025-04-16 11:01:19.582;producer;2;Message-101;2;78
2025-04-16 11:01:19.583;consumer;4;Message-101;2;78
2025-04-16 11:01:19.614;producer;3;Message-114;2;79
2025-04-16 11:01:19.615;consumer;4;Message-114;2;79
2025-04-16 11:01:19.619;producer;1;Message-114;2;80
2025-04-16 11:01:19.619;consumer;4;Message-114;2;80
2025-04-16 11:01:19.625;producer;2;Message-102;0;148
2025-04-16 11:01:19.626;consumer;4;Message-102;0;148
2025-04-16 11:01:19.654;producer;3;Message-115;1;103
2025-04-16 11:01:19.655;consumer;4;Message-115;1;103
2025-04-16 11:01:19.661;producer;1;Message-115;1;104
2025-04-16 11:01:19.661;consumer;4;Message-115;1;104
2025-04-16 11:01:19.670;producer;2;Message-103;2;81
2025-04-16 11:01:19.670;consumer;4;Message-103;2;81
2025-04-16 11:01:19.698;producer;3;Message-116;2;82
2025-04-16 11:01:19.699;consumer;4;Message-116;2;82
2025-04-16 11:01:19.705;producer;1;Message-116;2;83
2025-04-16 11:01:19.705;consumer;4;Message-116;2;83
2025-04-16 11:01:19.715;producer;2;Message-104;2;84
2025-04-16 11:01:19.715;consumer;4;Message-104;2;84
2025-04-16 11:01:19.744;producer;3;Message-117;2;85
2025-04-16 11:01:19.745;consumer;4;Message-117;2;85
2025-04-16 11:01:19.751;producer;1;Message-117;2;86
2025-04-16 11:01:19.751;consumer;4;Message-117;2;86
2025-04-16 11:01:19.760;producer;2;Message-105;2;87
2025-04-16 11:01:19.760;consumer;4;Message-105;2;87
2025-04-16 11:01:19.788;producer;3;Message-118;2;88
2025-04-16 11:01:19.788;consumer;4;Message-118;2;88
2025-04-16 11:01:19.795;producer;1;Message-118;2;89
2025-04-16 11:01:19.796;consumer;4;Message-118;2;89
2025-04-16 11:01:19.804;producer;2;Message-106;0;149
2025-04-16 11:01:19.804;consumer;4;Message-106;0;149
2025-04-16 11:01:19.832;producer;3;Message-119;0;150
2025-04-16 11:01:19.832;consumer;4;Message-119;0;150
2025-04-16 11:01:19.840;producer;1;Message-119;0;151
